"Model","AIC","lion"
"m1",18576.6882721348,"Babe"
"m5",18574.5370502491,"Babe"
"m0",18573.0656642531,"Babe"
"m3",18572.6397377347,"Babe"
"m7",18475.615212018,"Babe"
"m2",18475.096587215,"Babe"
"m4",18475.0429053144,"Babe"
"m6",18473.8483127422,"Babe"
