"Model","AIC","lion"
"m5",19400.135013617,"Thembi"
"m3",19399.2850105862,"Thembi"
"m0",19398.753755838,"Thembi"
"m1",19377.8354617318,"Thembi"
"m2",19247.9571445956,"Thembi"
"m4",19233.445190347,"Thembi"
"m6",19233.1394629728,"Thembi"
"m7",19223.9255420812,"Thembi"
