"Model","AIC","lion"
"m5",3938.47972051147,"Zulu"
"m3",3937.19244386763,"Zulu"
"m0",3937.01115644174,"Zulu"
"m1",3933.26650047463,"Zulu"
"m4",3881.22253608718,"Zulu"
"m2",3880.62295820591,"Zulu"
"m6",3877.44430725957,"Zulu"
"m7",3871.32403117148,"Zulu"
