"Model","AIC","lion"
"m0",8931.80605043454,"Murph"
"m1",8925.87094370966,"Murph"
"m5",8904.70942132011,"Murph"
"m3",8902.91899971633,"Murph"
"m2",8766.38562356348,"Murph"
"m4",8762.31474287274,"Murph"
"m7",8760.41593777617,"Murph"
"m6",8755.92967389249,"Murph"
