"Model","AIC","lion"
"m5",16946.6865339444,"Ntombi"
"m0",16944.9747390193,"Ntombi"
"m3",16944.9283364801,"Ntombi"
"m1",16932.870765859,"Ntombi"
"m6",16882.0569972806,"Ntombi"
"m4",16881.8558210476,"Ntombi"
"m2",16881.2590605649,"Ntombi"
"m7",16873.0249983145,"Ntombi"
