"Model","AIC","lion"
"m5",7677.07606216737,"Madonna"
"m3",7675.35717598652,"Madonna"
"m0",7673.55718555116,"Madonna"
"m6",7670.61871730614,"Madonna"
"m2",7670.51588447432,"Madonna"
"m1",7670.36487538231,"Madonna"
"m7",7667.17086550281,"Madonna"
"m4",7666.69712308235,"Madonna"
