"Model","AIC","lion"
"m3",18960.6606246549,"PokeJr"
"m0",18959.0169245803,"PokeJr"
"m5",18958.9430332864,"PokeJr"
"m1",18920.8372882439,"PokeJr"
"m4",18420.5624868663,"PokeJr"
"m2",18420.472914369,"PokeJr"
"m6",18398.3549661437,"PokeJr"
"m7",18362.2696630851,"PokeJr"
