"Model","AIC","lion"
"m0",9654.88507217101,"Fluffy"
"m5",9636.10064359348,"Fluffy"
"m3",9635.66510058881,"Fluffy"
"m2",9594.79661002342,"Fluffy"
"m4",9560.34961652072,"Fluffy"
"m6",9558.64339192428,"Fluffy"
