"Model","AIC","lion"
"m3",6739.37014207761,"Stud"
"m5",6738.88428803882,"Stud"
"m0",6737.85446759547,"Stud"
"m1",6691.43255208066,"Stud"
"m2",6685.4158515745,"Stud"
"m4",6683.72255775481,"Stud"
"m6",6680.16144281486,"Stud"
"m7",6646.07901839204,"Stud"
