"Model","AIC","lion"
"m1",9000.28513923148,"Roxy"
"m3",8997.98690832537,"Roxy"
"m0",8996.95269001082,"Roxy"
"m5",8996.0829604947,"Roxy"
"m2",8915.12248857513,"Roxy"
"m4",8896.67601571608,"Roxy"
"m7",8890.55155835948,"Roxy"
"m6",8887.49304463323,"Roxy"
