"Model","AIC","lion"
"m5",2138.5653712127,"Koku"
"m3",2137.03640202568,"Koku"
"m0",2135.49640172852,"Koku"
"m1",2126.79979823203,"Koku"
"m6",2112.99792020156,"Koku"
"m7",2110.57536258381,"Koku"
"m2",2110.21130986075,"Koku"
"m4",2109.56308514921,"Koku"
