"Model","AIC","lion"
"m0",9185.63302687882,"iHlane"
"m5",9175.5072612621,"iHlane"
"m3",9173.51033771453,"iHlane"
"m1",9168.9089705251,"iHlane"
"m4",9097.16314139917,"iHlane"
"m2",9095.39887543858,"iHlane"
"m6",9088.77577977747,"iHlane"
"m7",9077.51918270612,"iHlane"
