"","Model","Babe","Fanbelt","Fluffy","iHlane","Koku","Madonna","Murph","Ntombi","PokeJr","Roxy","Stud","Thembi","Zulu"
"1","m1",18576.6882721348,15139.8104986054,NA,9168.9089705251,2126.79979823203,7670.36487538231,8925.87094370966,16932.870765859,18920.8372882439,9000.28513923148,6691.43255208066,19377.8354617318,3933.26650047463
"2","m5",18574.5370502491,15152.2350089169,9636.10064359348,9175.5072612621,2138.5653712127,7677.07606216737,8904.70942132011,16946.6865339444,18958.9430332864,8996.0829604947,6738.88428803882,19400.135013617,3938.47972051147
"3","m0",18573.0656642531,15150.1482028326,9654.88507217101,9185.63302687882,2135.49640172852,7673.55718555116,8931.80605043454,16944.9747390193,18959.0169245803,8996.95269001082,6737.85446759547,19398.753755838,3937.01115644174
"4","m3",18572.6397377347,15151.5579147606,9635.66510058881,9173.51033771453,2137.03640202568,7675.35717598652,8902.91899971633,16944.9283364801,18960.6606246549,8997.98690832537,6739.37014207761,19399.2850105862,3937.19244386763
"5","m7",18475.615212018,14857.1155281331,NA,9077.51918270612,2110.57536258381,7667.17086550281,8760.41593777617,16873.0249983145,18362.2696630851,8890.55155835948,6646.07901839204,19223.9255420812,3871.32403117148
"6","m2",18475.096587215,14864.6991071969,9594.79661002342,9095.39887543858,2110.21130986075,7670.51588447432,8766.38562356348,16881.2590605649,18420.472914369,8915.12248857513,6685.4158515745,19247.9571445956,3880.62295820591
"7","m4",18475.0429053144,14860.0497648492,9560.34961652072,9097.16314139917,2109.56308514921,7666.69712308235,8762.31474287274,16881.8558210476,18420.5624868663,8896.67601571608,6683.72255775481,19233.445190347,3881.22253608718
"8","m6",18473.8483127422,14853.207077869,9558.64339192428,9088.77577977747,2112.99792020156,7670.61871730614,8755.92967389249,16882.0569972806,18398.3549661437,8887.49304463323,6680.16144281486,19233.1394629728,3877.44430725957
